Geo,Year,SFDU,MFDU,GQDU
1833.03,2045,484,1291,2
1834,2045,14,346,2
1835,2045,5,128,2
1836,2045,32,109,2
1837,2045,196,36,2
1838.01,2045,955,237,2
1838.02,2045,44,8,2
1839,2045,254,45,2
1840,2045,699,126,2
1841.01,2045,211,36,2
1841.02,2045,1425,253,2
1841.03,2045,139,25,2
1841.04,2045,124,21,2
1842.01,2045,153,28,2
1842.02,2045,54,10,2
1843.01,2045,88,16,2
1843.02,2045,727,132,2
1844,2045,551,99,2
1845.01,2045,535,120,2
1845.02,2045,2102,481,2
1845.03,2045,336,61,2
1846.01,2045,904,205,2
1846.02,2045,72,13,2
1847.01,2045,876,618,2
1847.02,2045,402,283,2
1848.01,2045,237,321,2
1848.02,2045,752,800,2
1849.01,2045,1154,1564,2
1849.02,2045,51,48,2
1850,2045,62,86,2
1851.01,2045,45,313,2
1851.02,2045,331,858,2
1852.01,2045,8,62,2
1852.02,2045,19,82,2
1853.01,2045,99,922,2
1853.02,2045,32,101,2
1854.01,2045,100,699,2
1854.02,2045,13,97,2
1855,2045,535,97,2
1856,2045,221,396,2
1857,2045,364,639,2
1858,2045,2197,1040,2
1859,2045,193,44,2
1860,2045,158,77,2
1861,2045,234,663,2
1862,2045,160,452,2
1863,2045,310,1072,2
1864,2045,440,378,2
1865.01,2045,640,531,2
1865.02,2045,760,601,2
1865.03,2045,68,58,2
1865.04,2045,719,623,2
1866.01,2045,255,128,2
1866.02,2045,158,80,2
1866.03,2045,212,174,2
1867.01,2045,1062,514,2
1867.02,2045,1098,557,2
1868.01,2045,1014,184,2
1868.02,2045,252,48,2
1868.03,2045,183,33,2
1869.01,2045,770,664,2
1869.02,2045,139,102,2
1870,2045,254,224,2
1871,2045,49,426,2
1872,2045,176,625,2
1873,2045,35,124,2
1874,2045,238,413,2
1875,2045,19,73,2
1876,2045,39,256,2
1877,2045,10,101,2
1878,2045,14,95,2
