Geo,Year,D4c
1853.01,2045,184.42861
1853.02,2045,186.42685
1854.01,2045,175.48989
1854.02,2045,182.21517
1855,2045,248.3317
1856,2045,159.44408
1857,2045,119.8981
1858,2045,146.90713
1859,2045,58.65378
1860,2045,66.35341
1861,2045,81.31462
1862,2045,53.2364
1863,2045,60.34134
1864,2045,90.67054
1865.01,2045,76.31782
1865.02,2045,82.42124
1865.03,2045,80.66667
1865.04,2045,80.66667
1866.01,2045,49.78236
1866.02,2045,32.79231
1866.03,2045,49.07371
1867.01,2045,67.95553
1867.02,2045,55.88751
1868.01,2045,117.00708
1868.02,2045,122.70511
1868.03,2045,127.77581
1869.01,2045,125.70915
1869.02,2045,117.28728
1870,2045,112.2773
1871,2045,55.5673
1872,2045,42.43638
1873,2045,93.44358
1874,2045,126.81072
1875,2045,53.4761
1876,2045,72.02725
1877,2045,86.5851
1878,2045,72.56937
1879,2045,44.55498
1880,2045,59.12023
1881,2045,37.05361
1882,2045,11.16295
1883,2045,0.01897
1884,2045,0.01109
1885,2045,0.07026
1886,2045,0.28408
1887,2045,27.53532
1888,2045,113.60353
1889,2045,112.81368
1890,2045,10.89935
1891,2045,5.22357
1892,2045,4.11492
1893,2045,11.71612
1894,2045,10.58785
1895,2045,10.63706
1896,2045,0.00807
1897,2045,0.00668
1898,2045,0
1899,2045,0.00293
1900,2045,18.70136
1901.01,2045,305.99867
1901.02,2045,305.99867
1901.03,2045,305.99867
1902,2045,214.24886
1903,2045,120.53826
1904,2045,305.995
1905,2045,166.26012
1906.01,2045,110.28414
1906.02,2045,106.97825
1907,2045,150.44425
1908,2045,162.64202
1909,2045,136.39638
1910,2045,282.33333
1911,2045,305.99867
1912,2045,299.38452
1913,2045,85.84275
1914,2045,99.59542
1915,2045,6.12994
1916,2045,45.15652
1917,2045,59.76137
1918,2045,29.09461
1919,2045,43.2593
1920,2045,113.76846
1921,2045,92.91752
1922,2045,21.04758
1923,2045,106.76279
1924,2045,88.38494
1925,2045,123.28993
1926,2045,122.86682
1927,2045,45.38189
1928,2045,32.50676
1929,2045,43.85984
1930,2045,42.91772
1931,2045,27.43435
1932,2045,41.92275
1933,2045,35.04245
1934,2045,41.87538
1935,2045,133.34098
1936,2045,80.75303
1937,2045,128.84782
1938,2045,105.53827
1939,2045,133.23832
1940,2045,101.20059
1941,2045,84.32255
1942,2045,87.18057
1943.01,2045,89.9964
1943.02,2045,90
1943.03,2045,85.85808
1944.01,2045,137.48107
1944.02,2045,138.9878
1944.03,2045,126.73217
1944.04,2045,78.78458
1944.05,2045,79.6135
1944.06,2045,139
1945.01,2045,159.28658
1945.02,2045,161.80098
1945.03,2045,134.14981
1946,2045,120.22273
1947,2045,76.72027
1948,2045,61.90468
1949,2045,0.97601
1950,2045,71.09949
1951,2045,38.72445
1952,2045,227.20814
1953,2045,28.48109
1954,2045,25.52608
1955,2045,117.4846
1956,2045,114.72723
1957,2045,136.55248
1958,2045,104.58911
1959,2045,170.95538
1960,2045,70.40169
1961,2045,97.60436
1962,2045,141.30196
1963,2045,33.49682
1964,2045,31.66538
1965,2045,49.59763
1966.01,2045,41.37974
1966.02,2045,42.51418
1967,2045,42.70884
1968.01,2045,72.27889
1968.02,2045,64.22972
1969.01,2045,170.68687
1969.02,2045,168.86899
1970,2045,43.62307
1971,2045,170.69405
1972.01,2045,78.55598
1972.02,2045,77.73845
1972.03,2045,71.51681
1972.04,2045,73.36104
1973.01,2045,155.67061
1973.02,2045,160.52591
1973.03,2045,156.07448
1973.04,2045,156.20795
1974,2045,85.85346
1975,2045,67.30853
1976,2045,18.80942
