Geo,Year,D3bpo4
1906.02,2045,15.252021
1907,2045,13.503676
1908,2045,17.642719
1909,2045,6.031271
1910,2045,2.330085
1911,2045,2.330413
1912,2045,2.501382
1913,2045,7.682349
1914,2045,4.705602
1915,2045,6.154615
1916,2045,8.815487
1917,2045,10.766609
1918,2045,19.795276
1919,2045,9.874083
1920,2045,24.572104
1921,2045,5.88528
1922,2045,1.57524
1923,2045,7.221336
1924,2045,7.819983
1925,2045,6.895692
1926,2045,6.862637
1927,2045,4.880294
1928,2045,4.322197
1929,2045,17.32136
1930,2045,17.155296
1931,2045,6.487691
1932,2045,23.990401
1933,2045,15.413224
1934,2045,17.783865
1935,2045,30.112918
1936,2045,30.950544
1937,2045,17.487063
1938,2045,20.041322
1939,2045,17.890754
1940,2045,15.768006
1941,2045,54.415824
1942,2045,9.022297
1943.01,2045,10.468618
1943.02,2045,10.470102
1943.03,2045,9.726944
1944.01,2045,3.546644
1944.02,2045,2.194252
1944.03,2045,2.972061
1944.04,2045,6.019223
1944.05,2045,6.109856
1944.06,2045,2.19
1945.01,2045,11.437967
1945.02,2045,11.436178
1945.03,2045,7.677609
1946,2045,5.472497
1947,2045,8.766122
1948,2045,8.355978
1949,2045,8.481333
1950,2045,8.847348
1951,2045,13.46213
1952,2045,6.159726
1953,2045,10.635375
1954,2045,15.347358
1955,2045,1.426136
1956,2045,1.575024
1957,2045,14.414806
1958,2045,41.400733
1959,2045,5.064217
1960,2045,7.547993
1961,2045,13.111159
1962,2045,25.43526
1963,2045,24.911154
1964,2045,0.634733
1965,2045,6.714115
1966.01,2045,7.95153
1966.02,2045,8.392886
1967,2045,10.244061
1968.01,2045,0.451243
1968.02,2045,0.170521
1969.01,2045,4.634972
1969.02,2045,4.643738
1970,2045,4.446824
1971,2045,4.754218
1972.01,2045,1.684563
1972.02,2045,1.683859
1972.03,2045,36.367738
1972.04,2045,13.043824
1973.01,2045,4.808984
1973.02,2045,4.642045
