Geo,Year,TotEmp,RetEmp,SvcEmp
1689.02,2045,2153,36,1573
1689.03,2045,4752,80,3473
1690.01,2045,2047,34,1496
1690.02,2045,2574,42,1884
1691,2045,1284,30,884
1692,2045,2174,1,1715
1693,2045,1988,1,1567
1694,2045,3987,58,2870
1695,2045,605,183,318
1696,2045,2469,53,1385
1697,2045,1476,242,452
1698,2045,145,5,77
1699,2045,356,10,169
1700,2045,191,0,100
1701,2045,113,0,26
1702,2045,60,0,13
1703,2045,1567,26,1016
1704.01,2045,1004,7,687
1704.02,2045,605,5,413
1704.03,2045,567,4,386
1705,2045,189,3,139
1706,2045,1701,282,712
1707,2045,188,9,91
1708,2045,115,9,58
1709,2045,122,3,53
1710,2045,115,3,50
1711,2045,61,0,37
1712,2045,217,25,84
1713,2045,172,1,78
1714,2045,195,1,89
1715,2045,243,38,110
1716,2045,49,7,37
1717,2045,262,19,146
1718,2045,136,20,102
1719,2045,992,104,500
1720,2045,38,0,22
1721,2045,53,0,34
1722,2045,335,3,237
1723,2045,2545,2,865
1724,2045,3143,3,1267
1725.01,2045,266,0,90
1725.02,2045,426,0,142
1726.01,2045,39,0,15
1726.02,2045,576,2,235
1727,2045,1980,19,1278
1728.01,2045,1343,40,792
1728.02,2045,3345,98,1980
1729.01,2045,1073,10,692
1729.02,2045,233,2,150
1730.01,2045,1361,38,871
1730.02,2045,1909,56,1131
1731.01,2045,1228,241,914
1731.02,2045,3261,643,2426
1731.03,2045,941,185,700
1732,2045,6172,156,3206
1733,2045,212,13,168
1734,2045,967,565,186
1735,2045,146,28,73
1736,2045,821,157,248
1737,2045,3386,186,845
1738,2045,1900,50,1061
1739.01,2045,1320,88,768
1739.02,2045,7299,226,4974
1739.03,2045,5567,177,3758
1740,2045,16924,121,9554
1741.01,2045,3864,243,2185
1741.02,2045,2217,142,1257
1741.03,2045,1214,77,684
1742.01,2045,2476,46,572
1742.02,2045,1474,28,332
1743,2045,3286,62,741
1744.01,2045,1757,13,154
1744.02,2045,113,1,9
1745,2045,762,5,62
1746,2045,2276,96,1008
1747,2045,3454,144,1570
1748,2045,439,30,111
1749,2045,1019,7,698
1750.01,2045,3964,182,2499
1750.02,2045,788,36,493
1750.03,2045,1546,71,972
1751,2045,117,4,68
1752.01,2045,207,74,67
1752.02,2045,185,2,159
1753.01,2045,399,3,273
1753.02,2045,871,6,596
1753.03,2045,661,5,446
1754.01,2045,1419,1,320
1754.02,2045,172,37,87
1754.03,2045,257,53,148
1755,2045,1502,24,954
1756,2045,2001,27,1195
1757,2045,125,2,104
1758,2045,300,57,200
1759,2045,434,104,124
1760,2045,177,2,141
1761,2045,2222,35,760
1762,2045,258,36,143
1763,2045,99,5,70
1764,2045,169,0,131
1765,2045,76,0,37
1766,2045,101,0.00E+00,52
1767,2045,342,64,165
1768,2045,347,1,221
1769,2045,3857,36,2511
1770.01,2045,425,5,303
1770.02,2045,219,3,156
1771,2045,55,0,33
1772,2045,2570,39,1830
1773,2045,641,7,458
1774,2045,3276,38,2338
1775,2045,112,2,89
1776,2045,22,0,17
1777,2045,43,0,25
1778,2045,144,1,129
1779,2045,941,231,451
1780,2045,289,8,147
1781,2045,39,0,29
1782,2045,76,0,57
1783,2045,71,0,45
1784,2045,1300,23,981
1785,2045,726,58,545
1786,2045,1267,0,1131
1787,2045,1066,0,950
1788,2045,551,4,421
1789,2045,199,19,148
1790,2045,1324,23,440
1791,2045,1533,77,800
1792,2045,917,153,528
1793.01,2045,1011,22,513
1793.02,2045,536,12,272
1794,2045,23,0,5
1795,2045,1222,10,742
1796.01,2045,1263,113,945
1796.02,2045,1339,410,545
1796.03,2045,628,90,396
1797.01,2045,509,51,321
1797.02,2045,621,62,389
1797.03,2045,250,26,157
1798.01,2045,1473,167,834
1798.02,2045,1217,110,737
1798.03,2045,766,209,274
1798.04,2045,625,173,229
1799,2045,770,14,519
1800.01,2045,1138,377,441
1800.02,2045,341,68,144
1800.03,2045,1072,281,300
1800.04,2045,279,75,77
1800.05,2045,1133,310,324
1800.06,2045,530,170,196
1801,2045,369,63,212
1802,2045,478,49,163
1803,2045,689,1,614
1804,2045,1397,0,1259
1805,2045,276,30,195
1806,2045,48,0,38
1807,2045,99,0,75
1808,2045,120,11,85
1809,2045,521,0,475
1810,2045,2367,733,990
1811,2045,694,57,352
1812,2045,638,264,180
1813,2045,195,81,55
1814.01,2045,1236,122,658
1814.02,2045,844,83,455
1815,2045,345,5,238
1816,2045,495,26,302
1817.01,2045,2829,280,1506
1817.02,2045,965,95,514
1817.03,2045,4318,428,2299
1818,2045,189,4,123
