Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropWkrPay,PropCashOut,PkgCost.2019,PropNonWrkTripPay
1944.03,2019,2,1.6,0,0.11,0,2.1,0
1944.04,2019,2,1.6,0,0.11,0,2.1,0
1944.05,2019,2,1.6,0,0.11,0,2.1,0
1944.06,2019,2,1.6,0,0.11,0,2.1,0
1945.01,2019,2,1.6,0,0.11,0,2.1,0
1945.02,2019,2,1.6,0,0.11,0,2.1,0
1945.03,2019,2,1.6,0,0.11,0,2.1,0
1946,2019,2,1.6,0,0.11,0,1.89,0
1947,2019,2,1.6,0,0.11,0,1.48,0
1948,2019,2,1.6,0,0.11,0,1.26,0
1949,2019,2,1.6,0,0.11,0,0,0
1950,2019,2,1.6,0,0.11,0,0,0
1951,2019,2,1.6,0,0.11,0,0,0
1952,2019,2,1.6,0,0.11,0,0,0
1953,2019,2,1.6,0,0.11,0,0,0
1954,2019,2,1.6,0,0.11,0,0.74,0
1955,2019,2,1.6,0,0.11,0,2.11,0
1956,2019,2,1.6,0,0.11,0,2.11,0
1957,2019,2,1.6,0,0.11,0,1.52,0
1958,2019,2,1.6,0,0.11,0,1.07,0
1959,2019,2,1.6,0,0.11,0,0,0
1960,2019,2,1.6,0,0.11,0,2.55,0
1961,2019,2,1.6,0,0.11,0,2.32,0
1962,2019,2,1.6,0,0.11,0,0,0
1963,2019,2,1.6,0,0.11,0,0.92,0
1964,2019,2,1.6,0,0.11,0,4.15,0
1965,2019,2,1.6,0,0.11,0,5.53,0
1966.01,2019,2,1.6,0,0.11,0,4.21,0
1966.02,2019,2,1.6,0,0.11,0,4.21,0
1967,2019,2,1.6,0,0.11,0,3.71,0
1968.01,2019,2,1.6,0,0.11,0,5,0
1968.02,2019,2,1.6,0,0.11,0,5,0
1969.01,2019,2,1.6,0,0.11,0,6.95,0
1969.02,2019,2,1.6,0,0.11,0,6.95,0
1970,2019,2,1.6,0,0.11,0,6.94,0
1971,2019,2,1.6,0,0.11,0,6.05,0
1972.01,2019,2,1.6,0,0.11,0,6.38,0
1972.02,2019,2,1.6,0,0.11,0,6.38,0
1972.03,2019,2,1.6,0,0.11,0,6.38,0
1972.04,2019,2,1.6,0,0.11,0,6.38,0
1973.01,2019,2,1.6,0,0.11,0,6.86,0
1973.02,2019,2,1.6,0,0.11,0,6.86,0
1973.03,2019,2,1.6,0,0.11,0,6.86,0
1973.04,2019,2,1.6,0,0.11,0,6.86,0
1974,2019,2,1.6,0,0.11,0,3.08,0
1975,2019,2,1.6,0,0.11,0,0,0
1976,2019,2,1.6,0,0.11,0,0,0
1977,2019,2,1.6,0,0.11,0,0,0
1978,2019,2,1.6,0,0.11,0,0,0
1979,2019,2,1.6,0,0.11,0,0,0
1980,2019,2,1.6,0,0.11,0,0,0
1981,2019,2,1.6,0,0.11,0,0.97,0
1982,2019,2,1.6,0,0.11,0,1.13,0
1983,2019,2,1.6,0,0.11,0,1.38,0
1984,2019,2,1.6,0,0.11,0,0,0
1985,2019,2,1.6,0,0.11,0,1.13,0
1986,2019,2,1.6,0,0.11,0,0,0
