Geo,Year,D3bp04
1846.01,2019,7.037207076
1846.02,2019,7.27
1847.01,2019,0.022314049
1847.02,2019,0.039653683
1848.01,2019,11.3396974
1848.02,2019,4.503704497
1849.01,2019,7.294445871
1849.02,2019,5.249582745
1850,2019,16.23754792
1851.01,2019,8.581148455
1851.02,2019,8.683716824
1852.01,2019,8.766279132
1852.02,2019,9.438444891
1853.01,2019,8.275350235
1853.02,2019,8.241328278
1854.01,2019,8.352504886
1854.02,2019,8.457901098
1855,2019,7.271613404
1856,2019,26.43742943
1857,2019,26.37724517
1858,2019,6.925357858
1859,2019,7.160273752
1860,2019,20.2354429
1861,2019,10.42092685
1862,2019,23.97177775
1863,2019,10.22377663
1864,2019,14.02930726
1865.01,2019,12.31888526
1865.02,2019,12.59222564
1865.03,2019,14.03076935
1865.04,2019,14.03076935
1866.01,2019,22.63611858
1866.02,2019,72.51783851
1866.03,2019,1.464881691
1867.01,2019,1.011495895
1867.02,2019,0
1868.01,2019,3.400027336
1868.02,2019,3.339257814
1868.03,2019,3.413321457
1869.01,2019,0.070965387
1869.02,2019,0.544603568
1870,2019,0.183812006
1871,2019,2.993571748
1872,2019,1.797082084
1873,2019,25.81474742
1874,2019,20.56771306
1875,2019,7.932238741
1876,2019,13.55349797
1877,2019,3.350315399
1878,2019,13.08700836
1879,2019,18.61894484
1880,2019,3.559249882
1881,2019,10.60511635
1882,2019,0.801917637
1883,2019,6.592393265
1884,2019,3.227959335
1885,2019,0.009093379
1886,2019,1.099171293
1887,2019,0.081243206
1888,2019,1.211425653
1889,2019,1.243166521
1890,2019,1.035602411
1891,2019,6.119643315
1892,2019,3.478196088
1893,2019,0.987200257
1894,2019,0.985173407
1895,2019,0.992013436
1896,2019,0.937831978
1897,2019,0.31460074
1898,2019,0.93726815
1899,2019,0.218292088
1900,2019,0.642704377
1901.01,2019,5.71
1901.02,2019,5.71
1901.03,2019,5.71
1902,2019,0.313041865
1903,2019,0.359775703
1904,2019,5.71
1905,2019,20.14543266
1906.01,2019,17.14547359
1906.02,2019,14.6415297
1907,2019,13.59961764
1908,2019,17.60006152
1909,2019,10.23320326
1910,2019,2.330084994
1911,2019,2.354384443
1912,2019,2.60151749
1913,2019,7.668913012
1914,2019,4.618801164
1915,2019,6.227088287
1916,2019,8.65715609
1917,2019,10.70383556
1918,2019,19.78020472
1919,2019,9.942266697
1920,2019,24.63894702
1921,2019,5.890572839
1922,2019,1.617850991
1923,2019,7.22717935
1924,2019,7.827804974
1925,2019,6.890148665
1926,2019,6.854903274
1927,2019,4.914271067
1928,2019,4.367352679
1929,2019,17.11891996
1930,2019,17.20144742
