"Azone","Bzone","Czone","Marea"
"Fairfax",2085.01,NA,"NVTA"
"Fairfax",2086.03,NA,"NVTA"
"Fairfax",2086.01,NA,"NVTA"
"Fairfax",2079.01,NA,"NVTA"
"Fairfax",2069.02,NA,"NVTA"
"Fairfax",2073.02,NA,"NVTA"
"Fairfax",2073.01,NA,"NVTA"
"Fairfax",2044.02,NA,"NVTA"
"Fairfax",2062.02,NA,"NVTA"
"Fairfax",2062.01,NA,"NVTA"
"Fairfax",2047.02,NA,"NVTA"
"Fairfax",2066.01,NA,"NVTA"
"Fairfax",2063.02,NA,"NVTA"
"Fairfax",2061.01,NA,"NVTA"
"Fairfax",1676.01,NA,"NVTA"
"Fairfax",1754.03,NA,"NVTA"
"Fairfax",1754.01,NA,"NVTA"
"Fairfax",1753.03,NA,"NVTA"
"Fairfax",1752.02,NA,"NVTA"
"Fairfax",1675.02,NA,"NVTA"
"Fairfax",1673.03,NA,"NVTA"
"Fairfax",1673.02,NA,"NVTA"
"Fairfax",1672.02,NA,"NVTA"
"Fairfax",1662.01,NA,"NVTA"
"Fairfax",1662.03,NA,"NVTA"
"Fairfax",1689.01,NA,"NVTA"
"Fairfax",1689.03,NA,"NVTA"
"Fairfax",1688.01,NA,"NVTA"
"Fairfax",1690.02,NA,"NVTA"
"Fairfax",1682.02,NA,"NVTA"
"Fairfax",1750.02,NA,"NVTA"
"Fairfax",1865.04,NA,"NVTA"
"Fairfax",1865.03,NA,"NVTA"
"Fairfax",1865.01,NA,"NVTA"
"Fairfax",1865.02,NA,"NVTA"
"Fairfax",1867.02,NA,"NVTA"
"Fairfax",1866.01,NA,"NVTA"
"Fairfax",1866.02,NA,"NVTA"
"Fairfax",1843.01,NA,"NVTA"
"Fairfax",1853.02,NA,"NVTA"
"Fairfax",1854.01,NA,"NVTA"
"Fairfax",1851.01,NA,"NVTA"
"Fairfax",1852.01,NA,"NVTA"
"Fairfax",1849.01,NA,"NVTA"
"Fairfax",1848.02,NA,"NVTA"
"Fairfax",1832.01,NA,"NVTA"
"Fairfax",1832.03,NA,"NVTA"
"Fairfax",1847.02,NA,"NVTA"
"Fairfax",1833.02,NA,"NVTA"
"Fairfax",1845.01,NA,"NVTA"
"Fairfax",1845.03,NA,"NVTA"
"Fairfax",1842.02,NA,"NVTA"
"Fairfax",1841.04,NA,"NVTA"
"Fairfax",1841.02,NA,"NVTA"
"Fairfax",1841.01,NA,"NVTA"
"Fairfax",1838.02,NA,"NVTA"
"Fairfax",1869.02,NA,"NVTA"
"Fairfax",1770.02,NA,"NVTA"
"Fairfax",1726.02,NA,"NVTA"
"Fairfax",1725.01,NA,"NVTA"
"Fairfax",1728.01,NA,"NVTA"
"Fairfax",1730.01,NA,"NVTA"
"Fairfax",1729.02,NA,"NVTA"
"Fairfax",1742.02,NA,"NVTA"
"Fairfax",1731.01,NA,"NVTA"
"Fairfax",1739.01,NA,"NVTA"
"Fairfax",1741.01,NA,"NVTA"
"Fairfax",1731.03,NA,"NVTA"
"Fairfax",1744.02,NA,"NVTA"
"Fairfax",1750.03,NA,"NVTA"
"Fairfax",1638.02,NA,"NVTA"
"Fairfax",1639.01,NA,"NVTA"
"Fairfax",1652.01,NA,"NVTA"
"Fairfax",1654.02,NA,"NVTA"
"Fairfax",1665.02,NA,"NVTA"
"Fairfax",1647.02,NA,"NVTA"
"Fairfax",1650,NA,"NVTA"
"Fairfax",2116.02,NA,"NVTA"
"Fairfax",2117.02,NA,"NVTA"
"Fairfax",2114.01,NA,"NVTA"
"Fairfax",2115.01,NA,"NVTA"
"Fairfax",2114.03,NA,"NVTA"
"Fairfax",1966.01,NA,"NVTA"
"Fairfax",1968.02,NA,"NVTA"
"Fairfax",1817.02,NA,"NVTA"
"Fairfax",1814.01,NA,"NVTA"
"Fairfax",1972.01,NA,"NVTA"
"Fairfax",1972.03,NA,"NVTA"
"Fairfax",1972.02,NA,"NVTA"
"Fairfax",2025.02,NA,"NVTA"
"Fairfax",2025.03,NA,"NVTA"
"Fairfax",1704.01,NA,"NVTA"
"Fairfax",1753.01,NA,"NVTA"
"Fairfax",1704.03,NA,"NVTA"
"Fairfax",1817.03,NA,"NVTA"
"Fairfax",2096.02,NA,"NVTA"
"Fairfax",1943.01,NA,"NVTA"
"Fairfax",1944.05,NA,"NVTA"
"Fairfax",1944.03,NA,"NVTA"
"Fairfax",1944.01,NA,"NVTA"
"Fairfax",1846.02,NA,"NVTA"
"Fairfax",2115.02,NA,"NVTA"
"Fairfax",2076.03,NA,"NVTA"
"Fairfax",1812,NA,"NVTA"
"Fairfax",1969.01,NA,"NVTA"
"Fairfax",1973.02,NA,"NVTA"
"Fairfax",1868.01,NA,"NVTA"
